# 별바라기 혜성 자료 파일
#
# 수정 내용을 반영하려면, 파일을 저장한 후 혜성 다이로그를 닫았다가 다시 띄우십시오.
# '#'으로 시작하는 줄은 프로그램에서 인식하지 않습니다.
# 각 항목을 '|'를 구분자로 사용하여 입력하십시오.
# 순서를 바꾸면 프로그램에서도 바뀐 순서로 나옵니다.
# 중요한 것을 앞쪽에 놓으면 편리합니다.    58 270
# 혜성의 이름은 39자까지 인식되며, 그 뒤는 무시됩니다.
#                                                                                근일점이각      승교점                            
#     이름                              분점        근일점           q         e        w         Node       i       k              ref
#1P/Halley                              |2000|19860205.5244 | 0.585978 |0.967142 |111.3324 |58.42008 | 162.262 |11.5 |15.0 | MPC 29882
#
C/2006 S5 (Hill)                       |2000|20071202.1525 | 2.656625 |0.972313 |182.2238 |281.5646 | 10.0961 | 8.0 |10.0 | MPC 60465
C/2006 U6 (Spacewatch)                 |2000|20080530.2069 | 2.520350 |0.998758 |276.7112 |180.1603 | 84.8211 | 8.0 |10.0 | MPC 66204
C/2006 V1 (Catalina)                   |2000|20071128.2056 | 2.658456 |0.983424 |253.2295 |335.4032 | 31.3239 | 8.0 |10.0 | MPC 62580
C/2006 W3 (Christensen)                |2000|20090703.7581 | 3.115856 |0.999036 |133.1816 |113.3329 |127.0749 | 5.0 |10.0 | MPC 82313
P/2007 A2 (Christensen)                |2000|20221129.5978 | 2.797584 |0.557446 |186.7933 |300.9061 | 26.4876 |13.5 |10.0 | MPC 75707
P/2007 B1 (Christensen)                |2000|20210125.6954 | 2.438648 |0.580810 | 46.7700 | 77.6669 | 12.3771 |13.5 |10.0 | MPC 59319
C/2007 B2 (Skiff)                      |2000|20080824.1217 | 2.980099 |0.995810 |206.2432 | 14.7283 | 27.5406 | 6.0 |10.0 | MPC112388
P/2007 C2 (Catalina)                   |2000|20260330.1193 | 3.716608 |0.468977 |179.7478 |275.7124 |  8.6793 |10.0 |10.0 | MPC 75707
C/2007 D1 (LINEAR)                     |2000|20070611.0302 | 8.836206 |0.994814 |340.1757 |171.1456 | 41.5008 | 3.5 |10.0 | MPC 84315
C/2007 G1 (LINEAR)                     |2000|20081116.6303 | 2.643944 |0.999845 |223.8963 | 79.0311 | 88.6562 | 5.5 |10.0 | MPC 66464
P/2007 K2 (Gibbs)                      |2000|20261231.1928 | 2.296655 |0.683662 |347.4950 |188.6496 |  7.6410 |14.0 |10.0 | MPC 82314
C/2007 K3 (Siding Spring)              |2000|20080425.2167 | 2.023207 |0.998967 | 23.3106 |263.1788 | 16.4217 | 9.5 |10.0 | MPC 82314
C/2007 M1 (McNaught)                   |2000|20080805.5591 | 7.490696 |0.993606 | 52.7035 |326.8605 |139.7711 | 6.0 |10.0 | MPC 87475
C/2007 M2 (Catalina)                   |2000|20081211.6262 | 3.546206 |0.998130 |220.7537 |357.2430 | 80.9431 | 8.0 |10.0 | MPC112388
C/2007 N3 (Lulin)                      |2000|20090110.6167 | 1.227980 |0.999367 |136.7624 |338.2862 |178.3756 | 6.5 |10.0 | MPC 73461
P/2007 Q2 (Gilmore)                    |2000|20201127.0121 | 1.864411 |0.670450 |162.7825 |172.1775 | 10.2006 |16.0 |10.0 | MPC 60925
C/2007 Q3 (Siding Spring)              |2000|20091006.0006 | 2.272174 |1.000528 |  2.2781 |149.4595 | 65.5048 | 4.5 |10.0 | MPC 78183
P/2007 R2 (Gibbs)                      |2000|20200916.1880 | 1.635565 |0.542358 |352.3697 | 11.4317 |  1.2165 |17.0 |10.0 | MPC 75708
P/2007 R4 (Garradd)                    |2000|20211209.0045 | 1.954137 |0.669794 |282.7389 | 87.2192 | 20.2335 |14.5 |10.0 | MPC 75708
P/2007 S1 (Zhao)                       |2000|20221008.8935 | 2.515985 |0.339757 |245.8255 |141.3927 |  5.9627 |13.0 |10.0 | MPC 73462
C/2007 S2 (Lemmon)                     |2000|20080906.1082 | 5.590747 |0.554927 |210.6770 |296.0869 | 16.8399 | 6.5 |10.0 | MPC 82314
C/2007 T1 (McNaught)                   |2000|20071210.1070 | 0.977632 |0.999601 |233.9559 |111.7116 |117.9546 |10.5 |10.0 | MPC 62270
P/2007 T2 (Kowalski)                   |2000|20180723.5729 | 0.655018 |0.785059 |359.6343 |  3.3783 |  9.7411 |18.5 |10.0 | MPC 61994
C/2007 T5 (Gibbs)                      |2000|20080520.1394 | 4.077370 |0.912565 | 34.5910 |109.8170 | 45.4800 | 8.0 |10.0 | MPC 65935
C/2007 U1 (LINEAR)                     |2000|20080807.9872 | 3.306703 |0.999988 |  1.1776 | 50.4512 |157.7361 | 9.0 |10.0 | MPC 66921
C/2007 VO53 (Spacewatch)               |2000|20100421.4861 | 4.862075 |0.999811 | 75.1530 | 59.7000 | 86.8622 | 7.0 |10.0 | MPC 81468
P/2007 VQ11 (Catalina)                 |2000|20200918.0615 | 2.695313 |0.503159 |277.6822 |163.8187 | 12.3201 |12.0 |10.0 | MPC 75708
C/2007 W1 (Boattini)                   |2000|20080627.7873 | 0.831518 |0.999408 |306.5651 |334.2280 |  9.9110 | 9.5 |10.0 | MPC 63599
C/2007 W3 (LINEAR)                     |2000|20080601.3662 | 1.781836 |0.999568 |112.6839 | 72.6833 | 78.6158 |12.0 |10.0 | MPC 63376
C/2007 Y1 (LINEAR)                     |2000|20080319.8891 | 3.354126 |0.999704 |357.2656 |133.1980 |110.0233 |10.5 |10.0 | MPC 62271
C/2007 Y2 (McNaught)                   |2000|20080410.0032 | 4.201916 |0.995448 |257.6900 |303.3476 | 98.3385 | 9.0 |10.0 | MPC 62271
C/2008 A1 (McNaught)                   |2000|20080928.9509 | 1.068356 |0.999771 |348.3741 |277.6227 | 82.9688 | 6.5 |10.0 | MPC 65935
C/2008 C1 (Chen-Gao)                   |2000|20080415.2865 | 1.276062 |0.999737 |181.0201 |307.8721 | 61.5127 |10.0 |10.0 | MPC 62582
P/2008 CL94 (Lemmon)                   |2000|20210923.6254 | 5.419290 |0.120065 | 80.6592 | 33.3413 |  8.3485 | 8.0 |10.0 | MPC 75708
C/2008 E1 (Catalina)                   |2000|20080802.9625 | 4.880225 |0.548475 |270.6583 |188.8609 | 34.8348 | 7.0 |10.0 | MPC112389
C/2008 E3 (Garradd)                    |2000|20080730.2741 | 5.536921 |0.995952 |218.0699 |105.6445 |105.2661 | 6.0 |10.0 | MPC 68392
C/2008 FK75 (Lemmon-Siding Spring)     |2000|20101002.4908 | 4.495879 |1.001214 | 80.3594 |218.2692 | 61.2742 | 5.0 |10.0 | MPC 88324
C/2008 G1 (Gibbs)                      |2000|20090115.4049 | 3.980591 |0.986551 | 63.6788 |215.9131 | 73.0325 | 9.5 |10.0 | MPC 82314
C/2008 H1 (LINEAR)                     |2000|20080310.4069 | 2.781495 |0.945034 | 96.1621 | 34.4772 | 75.3993 |10.5 |10.0 | MPC 63137
C/2008 J1 (Boattini)                   |2000|20080712.4209 | 1.717740 |0.989093 | 67.9269 |273.6867 | 62.0224 |10.0 |10.0 | MPC 65054
C/2008 J5 (Garradd)                    |2000|20080331.2341 | 1.953093 |0.971402 |313.1236 |286.7687 | 93.3694 |12.0 |10.0 | MPC 63376
